Time_Period,All_retailing_including_automotive_fuel,Month_as_a_%_of_Total,All_Retailing_excluding_automotive_fuel,Month_as_a_%_of_Total_excluding_automotive_fuel,Predominantly_food_stores,Total_non-food_stores,Non-specialised_stores,"Textile,_clothing_and_footwear_stores",Household_goods_stores,Other_stores,Non-store_retailing,Automotive_fuel,Total_Annual_Sales_for_All_Retailing_including_automotive_fuel,Total_Annual_Sales_for_All_Retailing_excluding_automotive_fuel
1986JAN,,,9415792.00,8.53,3737172.00,4873175.00,818539.00,1338872.00,1307268.00,1408496.00,805445.00,,,
1986FEB,,,7279178.00,6.59,3092640.00,3592464.00,610626.00,895347.00,986007.00,1100484.00,594074.00,,,
1986MAR,,,9562899.00,8.66,3985511.00,4814196.00,847197.00,1257190.00,1248070.00,1461739.00,763192.00,,,
1986APR,,,7897661.00,7.15,3237323.00,4023488.00,682160.00,1103899.00,1040344.00,1197085.00,636850.00,,,
1986MAY,,,7795672.00,7.06,3200778.00,3975932.00,680693.00,1099921.00,1004699.00,1190619.00,618962.00,,,
1986JUN,,,10095577.00,9.15,4108935.00,5183915.00,891829.00,1477315.00,1257536.00,1557235.00,802727.00,,,
1986JUL,,,8206161.00,7.43,3264134.00,4303019.00,739250.00,1191878.00,1079143.00,1292748.00,639008.00,,,
1986AUG,,,8046975.00,7.29,3217536.00,4206781.00,723643.00,1188550.00,1053708.00,1240880.00,622658.00,,,
1986SEP,,,10233376.00,9.27,3964706.00,5427058.00,905274.00,1526745.00,1403200.00,1591839.00,841612.00,,,
1986OCT,,,8442661.00,7.65,3240574.00,4483601.00,750911.00,1235674.00,1194547.00,1302469.00,718486.00,,,
1986NOV,,,9262840.00,8.39,3391175.00,5095059.00,926398.00,1408037.00,1328316.00,1432308.00,776606.00,,TOTAL SALES IN 1986 £000s,
1986DEC,,,14151040.00,12.82,4854941.00,8263419.00,1597851.00,2450004.00,1868570.00,2346994.00,1032680.00,,,"11,03,89,832"
1987JAN,,,8128095.00,6.96,3194261.00,4227339.00,688862.00,1152740.00,1154135.00,1231602.00,706495.00,,,
1987FEB,,,7922980.00,6.79,3222840.00,4037253.00,662726.00,988875.00,1131344.00,1254308.00,662887.00,,,
1987MAR,,,10048582.00,8.61,4080258.00,5132797.00,870172.00,1283783.00,1401035.00,1577807.00,835527.00,,,
1987APR,,,8627865.00,7.39,3450993.00,4477865.00,758916.00,1234167.00,1137762.00,1347020.00,699007.00,,,
1987MAY,,,8303226.00,7.11,3337500.00,4293900.00,701855.00,1150059.00,1121614.00,1320372.00,671826.00,,,
1987JUN,,,10685482.00,9.15,4220271.00,5596955.00,915070.00,1523530.00,1432610.00,1725745.00,868256.00,,,
1987JUL,,,8833514.00,7.57,3388399.00,4748902.00,795392.00,1323214.00,1206148.00,1424148.00,696213.00,,,
1987AUG,,,8774748.00,7.52,3418679.00,4658472.00,744639.00,1269498.00,1219371.00,1424964.00,697597.00,,,
1987SEP,,,10889620.00,9.33,4126968.00,5855560.00,941717.00,1585822.00,1573406.00,1754615.00,907092.00,,,
1987OCT,,,9126388.00,7.82,3400098.00,4931448.00,811449.00,1361854.00,1336448.00,1421697.00,794842.00,,,
1987NOV,,,10027371.00,8.59,3569167.00,5597067.00,993465.00,1524408.00,1487813.00,1591381.00,861137.00,,TOTAL SALES IN 1987 £000s,
1987DEC,,,15379130.00,13.17,5144819.00,9110964.00,1731888.00,2667216.00,2112621.00,2599239.00,1123347.00,,,"11,67,47,001"
1988JAN,,,9068669.00,7.06,3380282.00,4913908.00,774937.00,1264307.00,1417484.00,1457180.00,774479.00,,,
1988FEB,,,8656816.00,6.74,3457688.00,4487123.00,714508.00,1068015.00,1299296.00,1405304.00,712005.00,,,
1988MAR,,,11136459.00,8.67,4468741.00,5760109.00,964893.00,1416287.00,1596339.00,1782590.00,907609.00,,,
1988APR,,,9239800.00,7.20,3599313.00,4872294.00,781310.00,1251582.00,1322721.00,1516681.00,768193.00,,,
1988MAY,,,9287571.00,7.23,3618957.00,4909839.00,774680.00,1290311.00,1303472.00,1541376.00,758775.00,,,
1988JUN,,,11655445.00,9.08,4501567.00,6205092.00,996136.00,1654262.00,1616630.00,1938064.00,948786.00,,,
1988JUL,,,9774363.00,7.61,3631098.00,5359956.00,850777.00,1426006.00,1455521.00,1627652.00,783309.00,,,
